time_identifier,year_breakdown,time_period,geographic_level,country_code,country_name,school_type,characteristic_group,characteristic,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa_10_exact,enrolments_pa_10_exact_percent,sess_possible_pa_10_exact,sess_overall_pa_10_exact,sess_authorised_pa_10_exact,sess_unauthorised_pa_10_exact,sess_overall_percent_pa_10,sess_authorised_percent_pa_10_exact,sess_unauthorised_percent_pa_10_exact,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
Academic year,six half terms,201819,National,E92000001,England,Total,Major ethnic groups,Ethnicity Major Any Other Ethnic Group,138059,47605732,2081251,1399779,681472,4.37185,2.94036,1.43149,12840,9.30037,3783175,643270,359541,283729,17.00344,9.50368,7.49976,942723,134401,121718,10562,576,33196,:,29071,117874,1390121,223498,27190,389032,37554,677274,2067395
Academic year,six half terms,201819,National,E92000001,England,Total,Minority ethnic total,Ethnicity Minority Ethnic Group,2286028,803395323,36085159,24611027,11474132,4.49158,3.06338,1.4282,233485,10.21357,72592370,12858673,7197807,5660866,17.71353,9.91538,7.79816,17593428,2032340,1199354,215732,160135,511789,:,549030,2135114,24396922,3492135,578199,6782760,531464,11384558,35781480
Academic year,six half terms,201819,National,E92000001,England,Total,Major ethnic groups,Ethnicity Major Unclassified,119534,34613492,2019192,1310096,709096,5.83354,3.78493,2.04861,19984,16.71826,4848661,1019490,547958,471532,21.02622,11.30122,9.72499,904782,105846,32988,9988,6956,23774,:,48331,159280,1291945,131315,33068,504194,33453,702030,1993975
Academic year,six half terms,201819,National,E92000001,England,Total,NC Year,NC Year 1 and below,681218,245784095,10988713,8069050,2919663,4.47088,3.28298,1.1879,65877,9.67047,21879080,3460800,2250610,1210190,15.81785,10.28658,5.53127,6336557,618923,131714,119,32899,227728,:,30664,531798,7910402,1339785,215579,1221774,87321,2864459,10774861
Academic year,six half terms,201819,National,E92000001,England,Total,NC Year,NC Year 2,692461,250907374,10120685,7231367,2889318,4.03363,2.88209,1.15155,54685,7.8972,18124276,2871424,1780315,1091109,15.84297,9.82282,6.02015,5580251,570557,134347,186,33475,220171,:,41075,512558,7092620,1339912,209450,1198469,87127,2834958,9927578
Academic year,six half terms,201819,National,E92000001,England,Total,NC Year,NC Year 3,692347,250504162,9810509,6964904,2845605,3.91631,2.78035,1.13595,52969,7.65064,17478321,2802268,1728977,1073291,16.03282,9.89212,6.1407,5299215,558093,135190,204,33166,220276,:,51569,531469,6829182,1284648,200776,1219142,87329,2791895,9621077
Academic year,six half terms,201819,National,E92000001,England,Total,NC Year,NC Year 4,678760,246130929,9696019,6899266,2796753,3.93937,2.80309,1.13629,52741,7.7702,17545089,2832725,1754136,1078589,16.1454,9.99787,6.14753,5239107,549308,135152,207,34921,214070,:,53436,539112,6765313,1227988,186298,1240915,89712,2744913,9510226
Academic year,six half terms,201819,National,E92000001,England,Total,NC Year,NC Year 5,665015,241832908,9764595,7013881,2750714,4.03774,2.9003,1.13744,54232,8.155,18174909,2983113,1865169,1117944,16.41336,10.26233,6.15103,5329418,549659,133909,356,33344,196097,:,63035,571478,6877296,1143190,175180,1288265,91192,2697827,9575123
Academic year,six half terms,201819,National,E92000001,England,Total,NC Year,NC Year 6,659275,242792892,9806544,7161244,2645300,4.03906,2.94953,1.08953,52138,7.90838,17920710,2967794,1877869,1089925,16.56069,10.47876,6.08193,5396411,559523,132121,690,27914,175551,:,74035,653215,7019460,1038709,164484,1303779,88634,2595606,9615066
Academic year,six half terms,201819,National,E92000001,England,Total,NC Year,NC Year 7,633364,229856521,10217189,7400257,2816932,4.44503,3.21951,1.22552,61952,9.78142,20749770,3911250,2327216,1584034,18.84961,11.21562,7.63398,5705827,567599,122783,949,16256,100857,:,234356,636377,7385004,665223,57786,1977527,111254,2811790,10196794
Academic year,six half terms,201819,National,E92000001,England,Total,NC Year,NC Year 8,614995,221527660,11757939,8168686,3589253,5.30766,3.68743,1.62023,78706,12.79783,26062377,5242510,2999893,2242617,20.11524,11.51044,8.60481,6051780,707962,120417,1018,15647,102785,:,359072,789803,8148484,717448,89624,2626023,150061,3583156,11731640
Academic year,six half terms,201819,National,E92000001,England,Total,NC Year,NC Year 9,600710,216236999,12838493,8665280,4173213,5.93723,4.00731,1.92993,90167,15.01007,29910545,6349821,3541901,2807920,21.22937,11.84165,9.38773,6266710,820249,117948,1451,13573,99802,:,429372,894567,8643672,680751,133390,3175124,176569,4165834,12809506
Academic year,six half terms,201819,National,E92000001,England,Total,NC Year,NC Year 10,583173,210609311,13347604,8770581,4577023,6.33761,4.16438,2.17323,94895,16.27219,31676302,7158896,3889535,3269361,22.60016,12.27901,10.32116,6209271,864828,110661,12381,11743,81640,:,451536,1003385,8745445,576344,190694,3595135,206247,4568420,13313865
Academic year,six half terms,201819,National,E92000001,England,Total,NC Year,NC Year 11,548662,164138865,10514809,7066659,3448150,6.40604,4.30529,2.10075,88693,16.16533,25409410,5932271,3322727,2609544,23.34675,13.07676,10.26999,4548389,648693,9182,694479,5277,32228,:,250976,857162,7046386,239508,185918,2844884,171484,3441794,10488180
Academic year,six half terms,201819,National,E92000001,England,Total,NC Year,NC Year 12 and above,517,129086,8637,5353,3284,6.69089,4.14685,2.54404,100,19.34236,23099,4784,2671,2113,20.71085,11.56327,9.14758,2752,484,52,863,0,117,:,34,878,5180,284,103,1628,1227,3242,8422
Academic year,six half terms,201819,National,E92000001,England,Total,NC Year,NC Year Not followed or missing,55461,1849435,335553,154236,181317,18.14354,8.33963,9.80391,24708,44.55022,723381,306496,132589,173907,42.36993,18.32907,24.04086,62728,8076,812,213,1463,2362,:,10812,66360,152826,11572,3544,152413,12220,179749,332575
Academic year,six half terms,201819,National,E92000001,England,Total,FSM,FSM eligible,1125712,393241935,29422671,17669312,11753359,7.48208,4.49324,2.98884,256222,22.76088,83630205,17277508,8860161,8417347,20.65941,10.59445,10.06496,12437337,1485154,259029,67599,72187,216872,:,792162,2146588,17476928,1526724,776695,8910046,445816,11659281,29136209
Academic year,six half terms,201819,National,E92000001,England,Total,FSM,FSM Not eligible,5925556,2127485358,89475798,65771177,23704621,4.20571,3.0915,1.11421,491133,8.28839,161390420,29258776,18497368,10761408,18.12919,11.46126,6.66793,49539242,5533625,1024511,645308,186028,1456119,:,1247191,5383049,65015073,8727435,1033142,12784315,902357,23447249,88462322
Academic year,six half terms,201819,National,E92000001,England,Total,FSM,FSM unclassified,54690,1572944,308820,130275,178545,19.63325,8.28224,11.35101,24508,44.81258,656644,287868,116079,171789,43.83928,17.67762,26.16166,51837,5175,748,209,1463,693,:,10619,58525,129269,11203,2989,150717,12204,177113,306382
Academic year,six half terms,201819,National,E92000001,England,Total,FSM ever 6,FSM eligible in last 6 years,1825656,637343797,44000733,26904365,17096368,6.90377,4.22133,2.68244,372033,20.37804,120121205,24360425,12632581,11727844,20.27987,10.51653,9.76334,19103948,2229303,419642,121084,85006,336096,:,1206391,3121849,26623319,2516218,1050284,12721252,679013,16966767,43590086
Academic year,six half terms,201819,National,E92000001,England,Total,FSM ever 6,FSM not eligible in last 6 years,5209368,1876965467,74144813,56150004,17994809,3.95025,2.99153,0.95872,372704,7.1545,122981029,21574718,14451364,7123354,17.54313,11.75089,5.79224,42660766,4766573,850937,589785,165211,1329320,:,797597,4327223,55487412,7687205,751308,8682368,655287,17776168,73263580
Academic year,six half terms,201819,National,E92000001,England,Total,FSM ever 6,FSM unclassified in last 6 years,70934,7990973,1061743,516395,545348,13.28678,6.46223,6.82455,27126,38.24118,2575035,889009,389663,499346,34.52415,15.13234,19.39181,263702,28078,13709,2247,9461,8268,:,45984,139090,510539,61939,11234,441458,26077,540708,1051247
Academic year,six half terms,201819,National,E92000001,England,Total,SEN Provision,SEN provision No identified SEN,5954160,2131839107,91972508,64861136,27111372,4.31423,3.0425,1.27174,536852,9.01642,175691366,31254642,17912584,13342058,17.78952,10.19548,7.59403,49841450,5062776,1108091,626518,196686,1308439,:,1204322,4796279,64144561,8760979,1282305,15762189,1034553,26840026,90984587
Academic year,six half terms,201819,National,E92000001,England,Total,SEN Provision,SEN provision Statement or EHCP,219900,77538419,6764269,5118570,1645699,8.72376,6.60133,2.12243,54081,24.59345,18079421,4509880,3197742,1312138,24.94483,17.68719,7.25763,2890617,690998,37200,15779,6260,176188,:,166405,1067685,5051132,226336,96639,1238564,64156,1625695,6676827
Academic year,six half terms,201819,National,E92000001,England,Total,SEN Provision,SEN provision SEN Support,878135,311452608,20180099,13468715,6711384,6.47935,4.32448,2.15487,156890,17.86627,51300393,10788061,6253724,4534337,21.0292,12.1904,8.8388,9248284,1265365,138376,70685,55401,188408,:,669233,1668460,13304212,1267690,431050,4702572,249952,6651264,19955476
Academic year,six half terms,201819,National,E92000001,England,Total,SEN Provision,SEN provision Unclassified,53763,1470103,290413,122343,168070,19.7546,8.32207,11.43253,24040,44.71477,606089,271569,109558,162011,44.80679,18.07622,26.73056,48065,4815,621,134,1331,649,:,10012,55738,121365,10357,2832,141753,11716,166658,288023
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need Autistic spectrum disorder,115485,41342510,2879635,2159746,719889,6.96531,5.22403,1.74128,20776,17.99022,7067335,1674318,1155102,519216,23.69094,16.34424,7.3467,1360425,208812,16244,9277,1283,68655,:,56555,407905,2129156,126658,48076,508451,29706,712891,2842047
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need Hearing impairment,19135,6890809,398993,295090,103903,5.79022,4.28237,1.50785,2865,14.97256,984328,181858,119880,61978,18.47535,12.17887,6.29648,193820,53615,4787,1916,788,5277,:,6151,25635,291989,29057,4762,64817,4336,102972,394961
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need Moderate learning difficulty,225462,80814732,5191134,3356409,1834725,6.4235,4.15321,2.27029,40664,18.03586,13816876,2697840,1482835,1215005,19.52569,10.73206,8.79363,2407721,308336,42796,13880,23738,56390,:,122130,344042,3319033,349631,112363,1290502,66911,1819407,5138440
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need Multi-sensory impairment,2813,1015117,69781,55768,14013,6.87418,5.49375,1.38043,551,19.58763,191137,38416,29654,8762,20.09867,15.51453,4.58415,35650,9445,376,135,4,1223,:,923,7019,54775,3796,1146,8177,644,13763,68538
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need No specialist assessment,33655,12098101,706346,474597,231749,5.83849,3.9229,1.91558,5406,16.06299,1831879,333203,191296,141907,18.18914,10.44261,7.74653,345123,38974,6168,1593,3479,7146,:,15890,43275,461648,51911,15802,149676,9752,227141,688789
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need Other difficulty/disability,45407,16239587,1195083,880083,315000,7.35907,5.41937,1.9397,9399,20.69945,3217598,699717,483400,216317,21.74656,15.02363,6.72293,585448,117935,6269,4667,1920,14134,:,27212,114029,871614,60581,20137,217860,13955,312533,1184147
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need Physical disability,30246,10908534,1000403,833199,167204,9.17083,7.63805,1.53278,8679,28.6947,3058396,670054,548722,121332,21.90867,17.9415,3.96718,526060,182131,5315,2244,643,16946,:,4838,83723,821900,40248,10937,105875,8342,165402,987302
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need Profound and multiple learning difficulty,8187,2975294,445142,409448,35694,14.96128,13.7616,1.19968,3612,44.11872,1303793,366830,337219,29611,28.1356,25.86446,2.27114,249987,72366,2340,23,232,12287,:,538,68727,406500,7828,4429,19900,2933,35090,441590
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need Social emotional and mental health,185117,63953343,6083968,3815983,2267985,9.51314,5.96682,3.54631,50412,27.23251,16068405,4300213,2447370,1852843,26.76192,15.23095,11.53097,1986423,304411,16014,22333,4725,46867,:,417900,960846,3759519,225313,140573,1810412,69608,2245906,6005425
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need Speech language and communications needs,211248,76504142,4087048,2865800,1221248,5.34226,3.74594,1.59632,28148,13.32462,9669073,1767064,1073805,693259,18.27542,11.10556,7.16986,2072145,289483,48083,6122,10858,55857,:,60770,286221,2829539,323358,88675,747745,48097,1207875,4037414
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need Severe learning difficulty,26148,9488215,728662,616716,111946,7.67965,6.49981,1.17984,5940,22.71684,2111288,432879,352036,80843,20.50308,16.67399,3.82908,381471,105287,5775,278,1430,38295,:,4241,77409,614186,22658,10770,71090,6875,111393,725579
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need Specific learning difficulty,134253,47992891,2853176,1987802,865374,5.945,4.14187,1.80313,20590,15.33672,6927627,1384045,818450,565595,19.97863,11.81429,8.16434,1451101,182723,11434,19565,8310,28449,:,73777,195782,1971141,170234,48713,605757,34839,859543,2830684
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need Visual impairment,10819,3895183,247400,187352,60048,6.35143,4.80984,1.5416,1838,16.98863,641068,123334,86892,36442,19.23883,13.55426,5.68458,121759,35585,2542,1108,259,3870,:,2707,16754,184584,16294,3249,37731,2232,59506,244090
Academic year,six half terms,201819,National,E92000001,England,Total,SEN primary need,SEN primary need Unclassified,50060,14872569,1057597,649292,408305,7.11106,4.3657,2.74536,12091,24.15302,2491011,628170,324805,303365,25.21747,13.03908,12.17839,421768,47260,7433,3323,3992,9200,:,42006,104778,639760,66459,18057,303143,15878,403537,1043297
Academic year,six half terms,201819,National,E92000001,England,Total,First Language,First language Known or believed to be English,5703643,2035112732,98026967,69314846,28712121,4.81678,3.40595,1.41084,637871,11.18357,205243374,40047047,23789312,16257735,19.51198,11.59078,7.9212,51782212,5851448,377527,613745,256919,1351070,:,1817983,6467044,68517948,7780882,1569398,18029314,1040454,28420048,96937996
Academic year,six half terms,201819,National,E92000001,England,Total,First Language,First language Known or believed to be other than English,1381359,480274797,20787569,14005617,6781952,4.32827,2.91617,1.4121,130571,9.45236,39502934,6579998,3580706,2999292,16.65699,9.06441,7.59258,10078408,1153681,899627,95756,2408,319820,:,221101,1092039,13862840,2461696,238047,3712504,312729,6724976,20587816
Academic year,six half terms,201819,National,E92000001,England,Total,First Language,First language Unclassified,20956,6912708,392753,250301,142452,5.68161,3.62088,2.06073,3421,16.32468,930961,197107,103590,93517,21.17242,11.12721,10.04521,167796,18825,7134,3615,351,2794,:,10888,29079,240482,22784,5381,103260,7194,138619,379101
Academic year,six half terms,201819,National,E92000001,England,State-funded primary,Total,Total,3985705,1436932866,57891483,41461217,16430266,4.02882,2.8854,1.14343,328745,8.2481,105485110,16865678,10393866,6471812,15.98868,9.8534,6.13528,31898103,3173319,770735,1717,193369,1169235,:,297184,3129669,40633331,7231964,1119390,7248961,515482,16115797,56749128
Academic year,six half terms,201819,National,E92000001,England,State-funded primary,Gender,Gender male,2030958,731984522,30064032,21613294,8450738,4.1072,2.9527,1.1545,173782,8.55665,55748334,9141298,5721075,3420223,16.39744,10.26232,6.13511,16383195,1689129,392143,918,97897,588774,:,261632,1761361,21175049,3652477,575242,3791747,269832,8289298,29464347
Academic year,six half terms,201819,National,E92000001,England,State-funded primary,Gender,Gender female,1954746,704947968,27827451,19847923,7979528,3.94745,2.81552,1.13193,154963,7.92753,49736776,7724380,4672791,3051589,15.53052,9.39504,6.13548,15514908,1484190,378592,799,95472,580461,:,35552,1368308,19458282,3579487,544148,3457214,245650,7826499,27284781
Academic year,six half terms,201819,National,E92000001,England,State-funded primary,Major ethnic groups,Ethnicity Major White Total,2924468,1063755832,43111790,31135326,11976464,4.05279,2.92692,1.12587,240533,8.22485,78549062,12708142,8010613,4697529,16.1786,10.19823,5.98038,24293767,2425540,70301,1133,187298,901949,:,238485,2291688,30410161,5338717,825619,5178857,361047,11704240,42114401
Academic year,six half terms,201819,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor White British,2599650,949489671,37588036,27394095,10193941,3.95876,2.88514,1.07362,202437,7.78709,67081609,10688308,6882382,3805926,15.93329,10.25972,5.67358,21502863,2170796,28697,981,52759,798506,:,223192,1976023,26753817,4719381,750771,4193526,297484,9961162,36714979
Academic year,six half terms,201819,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Irish,10097,3607418,172542,118124,54418,4.78298,3.27447,1.5085,1240,12.28088,376753,70629,37786,32843,18.74677,10.02938,8.71738,86250,8604,316,2,4000,3097,:,943,12691,115903,13674,4176,32888,2656,53394,169297
Academic year,six half terms,201819,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Traveller of Irish heritage,4534,1390331,251624,134694,116930,18.09814,9.68791,8.41023,2924,64.49052,845877,222938,116311,106627,26.35584,13.75034,12.6055,55520,4979,457,3,53326,833,:,1710,16129,132957,10152,7022,94148,3698,115020,247977
Academic year,six half terms,201819,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Gypsy Roma,17279,5642440,646158,350254,295904,11.45175,6.20749,5.24426,7664,44.35442,2339418,483568,249960,233608,20.67044,10.68471,9.98573,204609,17610,1299,6,75196,2992,:,4083,32326,338121,53546,14360,211670,8130,287706,625827
Academic year,six half terms,201819,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Any other white background,292908,103625972,4453430,3138159,1315271,4.2976,3.02835,1.26925,26268,8.968,7905405,1242699,724174,518525,15.71961,9.16049,6.55912,2444525,223551,39532,141,2017,96521,:,8557,254519,3069363,541964,49290,646625,49079,1286958,4356321
Academic year,six half terms,201819,National,E92000001,England,State-funded primary,Major ethnic groups,Ethnicity Major Mixed Total,250270,89690690,3864191,2692082,1172109,4.30835,3.00152,1.30683,24765,9.89531,7922397,1282009,741115,540894,16.18208,9.35468,6.8274,2057911,201627,54579,88,799,71200,:,27023,243115,2656342,380436,118286,618112,40252,1157086,3813428
Academic year,six half terms,201819,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor White and Black Caribbean,63320,22659747,1152365,746728,405637,5.08552,3.29539,1.79012,8734,13.79343,2824133,468683,252611,216072,16.59564,8.94473,7.65091,586372,55043,1520,14,248,13270,:,11870,70645,738982,99663,48845,239721,13720,401949,1140931
Academic year,six half terms,201819,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor White and Black African,35167,12539816,489675,347418,142257,3.90496,2.77052,1.13444,2958,8.41129,914684,146718,87660,59058,16.04029,9.58364,6.45666,262419,27457,6266,13,72,8013,:,4601,31909,340750,45901,13667,74363,5132,139063,479813
