"old_la_code","new_la_code","la_name","urn","schname","measure","value","lowerci","upperci"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","ptrwm_exp","85%",NA,NA
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","ptrwm_exp_fsm6cla1a","74%",NA,NA
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","ptrwm_exp_notfsm6cla1a","90%",NA,NA
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","readprog","4.5","2.9","6.1"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","readprog_fsm6cla1a","5.8","3.1","8.6"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","readprog_notfsm6cla1a","3.9","2.0","5.8"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","writprog","3.1","1.6","4.5"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","writprog_fsm6cla1a","5.0","2.4","7.5"
209,"E09000023","Lewisham",135073,"Haberdashers' Aske's Hatcham College","writprog_notfsm6cla1a","2.2","0.4","3.9"
213,"E09000033","Westminster",135242,"Ark King Solomon Academy","matprog","0.6","-0.7","2.0"
213,"E09000033","Westminster",135242,"Ark King Solomon Academy","matprog_fsm6cla1a","0.9","-0.9","2.7"
213,"E09000033","Westminster",135242,"Ark King Solomon Academy","matprog_notfsm6cla1a","0.3","-1.7","2.4"
213,"E09000033","Westminster",135242,"Ark King Solomon Academy","ptrwm_exp","65%",NA,NA
213,"E09000033","Westminster",135242,"Ark King Solomon Academy","ptrwm_exp_fsm6cla1a","61%",NA,NA
213,"E09000033","Westminster",135242,"Ark King Solomon Academy","ptrwm_exp_notfsm6cla1a","70%",NA,NA
213,"E09000033","Westminster",135242,"Ark King Solomon Academy","readprog","-0.8","-2.3","0.8"
213,"E09000033","Westminster",135242,"Ark King Solomon Academy","readprog_fsm6cla1a","-1.0","-3.0","1.0"
213,"E09000033","Westminster",135242,"Ark King Solomon Academy","readprog_notfsm6cla1a","-0.5","-2.8","1.9"
213,"E09000033","Westminster",135242,"Ark King Solomon Academy","writprog","-1.1","-2.5","0.3"
213,"E09000033","Westminster",135242,"Ark King Solomon Academy","writprog_fsm6cla1a","-0.1","-2.0","1.8"
213,"E09000033","Westminster",135242,"Ark King Solomon Academy","writprog_notfsm6cla1a","-2.4","-4.6","-0.3"
352,"E08000003","Manchester",135296,"William Hulme's Grammar School","matprog","1.5","0.2","2.9"
352,"E08000003","Manchester",135296,"William Hulme's Grammar School","matprog_fsm6cla1a","1.1","-0.9","3.1"
352,"E08000003","Manchester",135296,"William Hulme's Grammar School","matprog_notfsm6cla1a","1.9","0.1","3.7"
352,"E08000003","Manchester",135296,"William Hulme's Grammar School","ptrwm_exp","65%",NA,NA
352,"E08000003","Manchester",135296,"William Hulme's Grammar School","ptrwm_exp_fsm6cla1a","63%",NA,NA
352,"E08000003","Manchester",135296,"William Hulme's Grammar School","ptrwm_exp_notfsm6cla1a","67%",NA,NA
352,"E08000003","Manchester",135296,"William Hulme's Grammar School","readprog","-0.3","-1.9","1.3"
352,"E08000003","Manchester",135296,"William Hulme's Grammar School","readprog_fsm6cla1a","1.0","-1.3","3.3"
352,"E08000003","Manchester",135296,"William Hulme's Grammar School","readprog_notfsm6cla1a","-1.4","-3.5","0.7"
352,"E08000003","Manchester",135296,"William Hulme's Grammar School","writprog","-0.6","-2.0","0.9"
352,"E08000003","Manchester",135296,"William Hulme's Grammar School","writprog_fsm6cla1a","-0.8","-2.9","1.4"
352,"E08000003","Manchester",135296,"William Hulme's Grammar School","writprog_notfsm6cla1a","-0.4","-2.4","1.5"
866,"E06000030","Swindon",135364,"Swindon Academy","matprog","-2.2","-3.3","-1.1"
866,"E06000030","Swindon",135364,"Swindon Academy","matprog_fsm6cla1a","-2.2","-3.6","-0.9"
866,"E06000030","Swindon",135364,"Swindon Academy","matprog_notfsm6cla1a","-2.1","-3.9","-0.3"
866,"E06000030","Swindon",135364,"Swindon Academy","ptrwm_exp","47%",NA,NA
866,"E06000030","Swindon",135364,"Swindon Academy","ptrwm_exp_fsm6cla1a","43%",NA,NA
866,"E06000030","Swindon",135364,"Swindon Academy","ptrwm_exp_notfsm6cla1a","53%",NA,NA
866,"E06000030","Swindon",135364,"Swindon Academy","readprog","-1.9","-3.1","-0.7"
866,"E06000030","Swindon",135364,"Swindon Academy","readprog_fsm6cla1a","-1.8","-3.4","-0.3"
866,"E06000030","Swindon",135364,"Swindon Academy","readprog_notfsm6cla1a","-2.1","-4.1","0.0"
866,"E06000030","Swindon",135364,"Swindon Academy","writprog","-1.7","-2.8","-0.5"
866,"E06000030","Swindon",135364,"Swindon Academy","writprog_fsm6cla1a","-2.0","-3.4","-0.5"
866,"E06000030","Swindon",135364,"Swindon Academy","writprog_notfsm6cla1a","-1.1","-3.0","0.7"
391,"E08000021","Newcastle upon Tyne",135423,"Excelsior Academy","matprog","-1.0","-3.0","1.1"
391,"E08000021","Newcastle upon Tyne",135423,"Excelsior Academy","matprog_fsm6cla1a","-0.8","-3.4","1.9"
391,"E08000021","Newcastle upon Tyne",135423,"Excelsior Academy","matprog_notfsm6cla1a","-1.2","-4.4","1.9"
391,"E08000021","Newcastle upon Tyne",135423,"Excelsior Academy","ptrwm_exp","47%",NA,NA
391,"E08000021","Newcastle upon Tyne",135423,"Excelsior Academy","ptrwm_exp_fsm6cla1a","44%",NA,NA
391,"E08000021","Newcastle upon Tyne",135423,"Excelsior Academy","ptrwm_exp_notfsm6cla1a","50%",NA,NA
391,"E08000021","Newcastle upon Tyne",135423,"Excelsior Academy","readprog","-2.6","-4.9","-0.2"
391,"E08000021","Newcastle upon Tyne",135423,"Excelsior Academy","readprog_fsm6cla1a","-4.3","-7.3","-1.3"
391,"E08000021","Newcastle upon Tyne",135423,"Excelsior Academy","readprog_notfsm6cla1a","0.0","-3.7","3.6"
391,"E08000021","Newcastle upon Tyne",135423,"Excelsior Academy","writprog","0.1","-2.1","2.2"
391,"E08000021","Newcastle upon Tyne",135423,"Excelsior Academy","writprog_fsm6cla1a","-0.4","-3.2","2.4"
391,"E08000021","Newcastle upon Tyne",135423,"Excelsior Academy","writprog_notfsm6cla1a","0.9","-2.5","4.2"
210,"E09000028","Southwark",135584,"Ark Globe Academy","matprog","0.1","-1.3","1.6"
210,"E09000028","Southwark",135584,"Ark Globe Academy","matprog_fsm6cla1a","-0.6","-2.3","1.1"
210,"E09000028","Southwark",135584,"Ark Globe Academy","matprog_notfsm6cla1a","1.7","-0.8","4.1"
210,"E09000028","Southwark",135584,"Ark Globe Academy","ptrwm_exp","85%",NA,NA
210,"E09000028","Southwark",135584,"Ark Globe Academy","ptrwm_exp_fsm6cla1a","90%",NA,NA
210,"E09000028","Southwark",135584,"Ark Globe Academy","ptrwm_exp_notfsm6cla1a","74%",NA,NA
210,"E09000028","Southwark",135584,"Ark Globe Academy","readprog","0.0","-1.6","1.7"
210,"E09000028","Southwark",135584,"Ark Globe Academy","readprog_fsm6cla1a","0.2","-1.7","2.2"
210,"E09000028","Southwark",135584,"Ark Globe Academy","readprog_notfsm6cla1a","-0.3","-3.2","2.5"
210,"E09000028","Southwark",135584,"Ark Globe Academy","writprog","-1.1","-2.6","0.4"
210,"E09000028","Southwark",135584,"Ark Globe Academy","writprog_fsm6cla1a","-1.4","-3.2","0.4"
210,"E09000028","Southwark",135584,"Ark Globe Academy","writprog_notfsm6cla1a","-0.6","-3.2","2.0"
801,"E06000023","Bristol City of",135597,"Merchants' Academy","matprog","-0.6","-2.9","1.7"
801,"E06000023","Bristol City of",135597,"Merchants' Academy","matprog_fsm6cla1a","0.2","-2.8","3.1"
801,"E06000023","Bristol City of",135597,"Merchants' Academy","matprog_notfsm6cla1a","-1.8","-5.6","1.9"
801,"E06000023","Bristol City of",135597,"Merchants' Academy","ptrwm_exp","50%",NA,NA
801,"E06000023","Bristol City of",135597,"Merchants' Academy","ptrwm_exp_fsm6cla1a","54%",NA,NA
801,"E06000023","Bristol City of",135597,"Merchants' Academy","ptrwm_exp_notfsm6cla1a","44%",NA,NA
801,"E06000023","Bristol City of",135597,"Merchants' Academy","readprog","-3.5","-6.1","-0.8"
801,"E06000023","Bristol City of",135597,"Merchants' Academy","readprog_fsm6cla1a","-3.1","-6.5","0.3"
801,"E06000023","Bristol City of",135597,"Merchants' Academy","readprog_notfsm6cla1a","-4.1","-8.4","0.2"
801,"E06000023","Bristol City of",135597,"Merchants' Academy","writprog","0.7","-1.7","3.1"
801,"E06000023","Bristol City of",135597,"Merchants' Academy","writprog_fsm6cla1a","1.0","-2.1","4.1"
801,"E06000023","Bristol City of",135597,"Merchants' Academy","writprog_notfsm6cla1a","0.1","-3.8","4.1"
304,"E09000005","Brent",135600,"Ark Academy","matprog","1.1","-0.4","2.6"
304,"E09000005","Brent",135600,"Ark Academy","matprog_fsm6cla1a","0.4","-2.4","3.2"
304,"E09000005","Brent",135600,"Ark Academy","matprog_notfsm6cla1a","1.4","-0.4","3.2"
304,"E09000005","Brent",135600,"Ark Academy","ptrwm_exp","77%",NA,NA
304,"E09000005","Brent",135600,"Ark Academy","ptrwm_exp_fsm6cla1a","73%",NA,NA
304,"E09000005","Brent",135600,"Ark Academy","ptrwm_exp_notfsm6cla1a","79%",NA,NA
304,"E09000005","Brent",135600,"Ark Academy","readprog","0.1","-1.6","1.9"
304,"E09000005","Brent",135600,"Ark Academy","readprog_fsm6cla1a","-0.9","-4.1","2.3"
304,"E09000005","Brent",135600,"Ark Academy","readprog_notfsm6cla1a","0.6","-1.5","2.7"
304,"E09000005","Brent",135600,"Ark Academy","writprog","-1.1","-2.8","0.5"
304,"E09000005","Brent",135600,"Ark Academy","writprog_fsm6cla1a","-1.1","-4.1","1.9"
304,"E09000005","Brent",135600,"Ark Academy","writprog_notfsm6cla1a","-1.1","-3.1","0.8"
825,"E10000002","Buckinghamshire",135879,"The Aylesbury Vale Academy","matprog","-1.9","-3.9","0.1"
825,"E10000002","Buckinghamshire",135879,"The Aylesbury Vale Academy","matprog_fsm6cla1a","-4.3","-7.5","-1.2"
825,"E10000002","Buckinghamshire",135879,"The Aylesbury Vale Academy","matprog_notfsm6cla1a","-0.4","-2.9","2.2"
825,"E10000002","Buckinghamshire",135879,"The Aylesbury Vale Academy","ptrwm_exp","47%",NA,NA
825,"E10000002","Buckinghamshire",135879,"The Aylesbury Vale Academy","ptrwm_exp_fsm6cla1a","18%",NA,NA
825,"E10000002","Buckinghamshire",135879,"The Aylesbury Vale Academy","ptrwm_exp_notfsm6cla1a","63%",NA,NA
825,"E10000002","Buckinghamshire",135879,"The Aylesbury Vale Academy","readprog","-1.2","-3.5","1.1"
825,"E10000002","Buckinghamshire",135879,"The Aylesbury Vale Academy","readprog_fsm6cla1a","-4.1","-7.8","-0.5"
825,"E10000002","Buckinghamshire",135879,"The Aylesbury Vale Academy","readprog_notfsm6cla1a","0.7","-2.2","3.7"
825,"E10000002","Buckinghamshire",135879,"The Aylesbury Vale Academy","writprog","0.0","-2.1","2.1"
825,"E10000002","Buckinghamshire",135879,"The Aylesbury Vale Academy","writprog_fsm6cla1a","-0.5","-3.8","2.9"
825,"E10000002","Buckinghamshire",135879,"The Aylesbury Vale Academy","writprog_notfsm6cla1a","0.3","-2.4","3.0"
892,"E06000018","Nottingham",135881,"Nottingham Academy","matprog","-2.4","-3.6","-1.3"
892,"E06000018","Nottingham",135881,"Nottingham Academy","matprog_fsm6cla1a","-2.7","-4.4","-0.9"
892,"E06000018","Nottingham",135881,"Nottingham Academy","matprog_notfsm6cla1a","-2.3","-3.8","-0.8"
892,"E06000018","Nottingham",135881,"Nottingham Academy","ptrwm_exp","47%",NA,NA
892,"E06000018","Nottingham",135881,"Nottingham Academy","ptrwm_exp_fsm6cla1a","41%",NA,NA
892,"E06000018","Nottingham",135881,"Nottingham Academy","ptrwm_exp_notfsm6cla1a","51%",NA,NA
892,"E06000018","Nottingham",135881,"Nottingham Academy","readprog","-0.7","-2.0","0.6"
892,"E06000018","Nottingham",135881,"Nottingham Academy","readprog_fsm6cla1a","0.1","-1.8","2.1"
892,"E06000018","Nottingham",135881,"Nottingham Academy","readprog_notfsm6cla1a","-1.3","-3.0","0.4"
892,"E06000018","Nottingham",135881,"Nottingham Academy","writprog","1.1","-0.1","2.3"
892,"E06000018","Nottingham",135881,"Nottingham Academy","writprog_fsm6cla1a","1.0","-0.8","2.9"
892,"E06000018","Nottingham",135881,"Nottingham Academy","writprog_notfsm6cla1a","1.1","-0.5","2.7"
303,"E09000004","Bexley",135951,"Haberdashers' Aske's Crayford Academy","matprog","0.2","-1.0","1.4"
303,"E09000004","Bexley",135951,"Haberdashers' Aske's Crayford Academy","matprog_fsm6cla1a","0.8","-1.3","2.8"
303,"E09000004","Bexley",135951,"Haberdashers' Aske's Crayford Academy","matprog_notfsm6cla1a","-0.1","-1.6","1.4"
303,"E09000004","Bexley",135951,"Haberdashers' Aske's Crayford Academy","ptrwm_exp","71%",NA,NA
303,"E09000004","Bexley",135951,"Haberdashers' Aske's Crayford Academy","ptrwm_exp_fsm6cla1a","56%",NA,NA
303,"E09000004","Bexley",135951,"Haberdashers' Aske's Crayford Academy","ptrwm_exp_notfsm6cla1a","79%",NA,NA
303,"E09000004","Bexley",135951,"Haberdashers' Aske's Crayford Academy","readprog","-0.7","-2.0","0.7"
303,"E09000004","Bexley",135951,"Haberdashers' Aske's Crayford Academy","readprog_fsm6cla1a","-0.3","-2.6","2.1"
303,"E09000004","Bexley",135951,"Haberdashers' Aske's Crayford Academy","readprog_notfsm6cla1a","-0.9","-2.6","0.8"
303,"E09000004","Bexley",135951,"Haberdashers' Aske's Crayford Academy","writprog","0.6","-0.6","1.9"
303,"E09000004","Bexley",135951,"Haberdashers' Aske's Crayford Academy","writprog_fsm6cla1a","0.5","-1.7","2.6"
303,"E09000004","Bexley",135951,"Haberdashers' Aske's Crayford Academy","writprog_notfsm6cla1a","0.7","-0.9","2.3"
308,"E09000010","Enfield",135958,"Oasis Academy Hadley","matprog","1.1","-0.2","2.5"
308,"E09000010","Enfield",135958,"Oasis Academy Hadley","matprog_fsm6cla1a","0.6","-1.1","2.4"
308,"E09000010","Enfield",135958,"Oasis Academy Hadley","matprog_notfsm6cla1a","2.0","-0.3","4.2"
308,"E09000010","Enfield",135958,"Oasis Academy Hadley","ptrwm_exp","67%",NA,NA
308,"E09000010","Enfield",135958,"Oasis Academy Hadley","ptrwm_exp_fsm6cla1a","62%",NA,NA
308,"E09000010","Enfield",135958,"Oasis Academy Hadley","ptrwm_exp_notfsm6cla1a","74%",NA,NA
308,"E09000010","Enfield",135958,"Oasis Academy Hadley","readprog","-0.7","-2.3","0.8"
308,"E09000010","Enfield",135958,"Oasis Academy Hadley","readprog_fsm6cla1a","-0.8","-2.8","1.2"
308,"E09000010","Enfield",135958,"Oasis Academy Hadley","readprog_notfsm6cla1a","-0.7","-3.2","1.9"
308,"E09000010","Enfield",135958,"Oasis Academy Hadley","writprog","1.8","0.3","3.2"
308,"E09000010","Enfield",135958,"Oasis Academy Hadley","writprog_fsm6cla1a","0.5","-1.4","2.3"
308,"E09000010","Enfield",135958,"Oasis Academy Hadley","writprog_notfsm6cla1a","3.9","1.5","6.3"
928,"E10000021","Northamptonshire",135966,"Kettering Buccleuch Academy","matprog","-0.3","-1.7","1.1"
928,"E10000021","Northamptonshire",135966,"Kettering Buccleuch Academy","matprog_fsm6cla1a","-1.3","-3.3","0.7"
928,"E10000021","Northamptonshire",135966,"Kettering Buccleuch Academy","matprog_notfsm6cla1a","0.6","-1.3","2.6"
928,"E10000021","Northamptonshire",135966,"Kettering Buccleuch Academy","ptrwm_exp","55%",NA,NA
928,"E10000021","Northamptonshire",135966,"Kettering Buccleuch Academy","ptrwm_exp_fsm6cla1a","48%",NA,NA
928,"E10000021","Northamptonshire",135966,"Kettering Buccleuch Academy","ptrwm_exp_notfsm6cla1a","61%",NA,NA
928,"E10000021","Northamptonshire",135966,"Kettering Buccleuch Academy","readprog","-1.0","-2.6","0.6"
928,"E10000021","Northamptonshire",135966,"Kettering Buccleuch Academy","readprog_fsm6cla1a","-1.8","-4.0","0.5"
928,"E10000021","Northamptonshire",135966,"Kettering Buccleuch Academy","readprog_notfsm6cla1a","-0.2","-2.5","2.0"
928,"E10000021","Northamptonshire",135966,"Kettering Buccleuch Academy","writprog","0.1","-1.4","1.6"
928,"E10000021","Northamptonshire",135966,"Kettering Buccleuch Academy","writprog_fsm6cla1a","0.5","-1.6","2.6"
928,"E10000021","Northamptonshire",135966,"Kettering Buccleuch Academy","writprog_notfsm6cla1a","-0.3","-2.4","1.8"
306,"E09000008","Croydon",135968,"Oasis Academy Shirley Park","matprog","1.2","-0.2","2.6"
306,"E09000008","Croydon",135968,"Oasis Academy Shirley Park","matprog_fsm6cla1a","1.2","-0.5","3.0"
306,"E09000008","Croydon",135968,"Oasis Academy Shirley Park","matprog_notfsm6cla1a","1.2","-1.1","3.6"
306,"E09000008","Croydon",135968,"Oasis Academy Shirley Park","ptrwm_exp","88%",NA,NA
306,"E09000008","Croydon",135968,"Oasis Academy Shirley Park","ptrwm_exp_fsm6cla1a","86%",NA,NA
306,"E09000008","Croydon",135968,"Oasis Academy Shirley Park","ptrwm_exp_notfsm6cla1a","91%",NA,NA
306,"E09000008","Croydon",135968,"Oasis Academy Shirley Park","readprog","1.2","-0.4","2.8"
306,"E09000008","Croydon",135968,"Oasis Academy Shirley Park","readprog_fsm6cla1a","0.8","-1.2","2.8"
306,"E09000008","Croydon",135968,"Oasis Academy Shirley Park","readprog_notfsm6cla1a","1.9","-0.8","4.6"
306,"E09000008","Croydon",135968,"Oasis Academy Shirley Park","writprog","2.5","1.0","4.0"
306,"E09000008","Croydon",135968,"Oasis Academy Shirley Park","writprog_fsm6cla1a","1.9","0.1","3.8"
306,"E09000008","Croydon",135968,"Oasis Academy Shirley Park","writprog_notfsm6cla1a","3.6","1.1","6.1"
886,"E10000016","Kent",136197,"The John Wallis Church of England Academy","matprog","-1.3","-2.8","0.2"
886,"E10000016","Kent",136197,"The John Wallis Church of England Academy","matprog_fsm6cla1a","-2.1","-3.9","-0.2"
886,"E10000016","Kent",136197,"The John Wallis Church of England Academy","matprog_notfsm6cla1a","0.4","-2.4","3.1"
886,"E10000016","Kent",136197,"The John Wallis Church of England Academy","ptrwm_exp","56%",NA,NA
886,"E10000016","Kent",136197,"The John Wallis Church of England Academy","ptrwm_exp_fsm6cla1a","48%",NA,NA
886,"E10000016","Kent",136197,"The John Wallis Church of England Academy","ptrwm_exp_notfsm6cla1a","74%",NA,NA
886,"E10000016","Kent",136197,"The John Wallis Church of England Academy","readprog","-0.8","-2.5","1.0"
886,"E10000016","Kent",136197,"The John Wallis Church of England Academy","readprog_fsm6cla1a","-1.2","-3.3","0.9"
886,"E10000016","Kent",136197,"The John Wallis Church of England Academy","readprog_notfsm6cla1a","0.2","-2.9","3.3"
886,"E10000016","Kent",136197,"The John Wallis Church of England Academy","writprog","0.2","-1.4","1.8"
886,"E10000016","Kent",136197,"The John Wallis Church of England Academy","writprog_fsm6cla1a","-0.2","-2.1","1.7"
886,"E10000016","Kent",136197,"The John Wallis Church of England Academy","writprog_notfsm6cla1a","1.2","-1.7","4.1"
878,"E10000008","Devon",136200,"Dartmouth Academy","matprog","-1.3","-3.6","1.0"
878,"E10000008","Devon",136200,"Dartmouth Academy","matprog_fsm6cla1a","SUPP","SUPP","SUPP"
878,"E10000008","Devon",136200,"Dartmouth Academy","matprog_notfsm6cla1a","SUPP","SUPP","SUPP"
878,"E10000008","Devon",136200,"Dartmouth Academy","ptrwm_exp","71%",NA,NA
878,"E10000008","Devon",136200,"Dartmouth Academy","ptrwm_exp_fsm6cla1a","SUPP",NA,NA
878,"E10000008","Devon",136200,"Dartmouth Academy","ptrwm_exp_notfsm6cla1a","SUPP",NA,NA
878,"E10000008","Devon",136200,"Dartmouth Academy","readprog","0.2","-2.4","2.8"
878,"E10000008","Devon",136200,"Dartmouth Academy","readprog_fsm6cla1a","SUPP","SUPP","SUPP"
878,"E10000008","Devon",136200,"Dartmouth Academy","readprog_notfsm6cla1a","SUPP","SUPP","SUPP"
878,"E10000008","Devon",136200,"Dartmouth Academy","writprog","-2.3","-4.8","0.1"
878,"E10000008","Devon",136200,"Dartmouth Academy","writprog_fsm6cla1a","SUPP","SUPP","SUPP"
878,"E10000008","Devon",136200,"Dartmouth Academy","writprog_notfsm6cla1a","SUPP","SUPP","SUPP"
886,"E10000016","Kent",136270,"Westlands Primary School","matprog","-0.7","-1.8","0.4"
886,"E10000016","Kent",136270,"Westlands Primary School","matprog_fsm6cla1a","-1.5","-3.5","0.5"
886,"E10000016","Kent",136270,"Westlands Primary School","matprog_notfsm6cla1a","-0.3","-1.7","1.0"
886,"E10000016","Kent",136270,"Westlands Primary School","ptrwm_exp","66%",NA,NA
886,"E10000016","Kent",136270,"Westlands Primary School","ptrwm_exp_fsm6cla1a","57%",NA,NA
886,"E10000016","Kent",136270,"Westlands Primary School","ptrwm_exp_notfsm6cla1a","70%",NA,NA
886,"E10000016","Kent",136270,"Westlands Primary School","readprog","0.4","-0.9","1.7"
886,"E10000016","Kent",136270,"Westlands Primary School","readprog_fsm6cla1a","0.3","-2.0","2.6"
886,"E10000016","Kent",136270,"Westlands Primary School","readprog_notfsm6cla1a","0.4","-1.1","2.0"
886,"E10000016","Kent",136270,"Westlands Primary School","writprog","1.6","0.4","2.8"
886,"E10000016","Kent",136270,"Westlands Primary School","writprog_fsm6cla1a","1.6","-0.5","3.7"
886,"E10000016","Kent",136270,"Westlands Primary School","writprog_notfsm6cla1a","1.6","0.2","3.0"
308,"E09000010","Enfield",136284,"Cuckoo Hall Academy","matprog","0.6","-0.5","1.6"
308,"E09000010","Enfield",136284,"Cuckoo Hall Academy","matprog_fsm6cla1a","0.0","-1.6","1.6"
308,"E09000010","Enfield",136284,"Cuckoo Hall Academy","matprog_notfsm6cla1a","1.0","-0.4","2.3"
308,"E09000010","Enfield",136284,"Cuckoo Hall Academy","ptrwm_exp","58%",NA,NA
308,"E09000010","Enfield",136284,"Cuckoo Hall Academy","ptrwm_exp_fsm6cla1a","56%",NA,NA
308,"E09000010","Enfield",136284,"Cuckoo Hall Academy","ptrwm_exp_notfsm6cla1a","59%",NA,NA
308,"E09000010","Enfield",136284,"Cuckoo Hall Academy","readprog","-1.9","-3.1","-0.7"
308,"E09000010","Enfield",136284,"Cuckoo Hall Academy","readprog_fsm6cla1a","-2.1","-4.0","-0.2"
308,"E09000010","Enfield",136284,"Cuckoo Hall Academy","readprog_notfsm6cla1a","-1.7","-3.3","-0.1"
308,"E09000010","Enfield",136284,"Cuckoo Hall Academy","writprog","-2.2","-3.3","-1.1"
308,"E09000010","Enfield",136284,"Cuckoo Hall Academy","writprog_fsm6cla1a","-3.1","-4.8","-1.4"
308,"E09000010","Enfield",136284,"Cuckoo Hall Academy","writprog_notfsm6cla1a","-1.5","-3.0","-0.1"
908,"E06000052","Cornwall",136318,"Sandy Hill Academy","matprog","2.5","0.7","4.2"
908,"E06000052","Cornwall",136318,"Sandy Hill Academy","matprog_fsm6cla1a","1.7","-1.4","4.9"
908,"E06000052","Cornwall",136318,"Sandy Hill Academy","matprog_notfsm6cla1a","2.8","0.7","4.9"
908,"E06000052","Cornwall",136318,"Sandy Hill Academy","ptrwm_exp","89%",NA,NA
908,"E06000052","Cornwall",136318,"Sandy Hill Academy","ptrwm_exp_fsm6cla1a","82%",NA,NA
908,"E06000052","Cornwall",136318,"Sandy Hill Academy","ptrwm_exp_notfsm6cla1a","92%",NA,NA
908,"E06000052","Cornwall",136318,"Sandy Hill Academy","readprog","4.3","2.3","6.3"
908,"E06000052","Cornwall",136318,"Sandy Hill Academy","readprog_fsm6cla1a","4.0","0.3","7.6"
908,"E06000052","Cornwall",136318,"Sandy Hill Academy","readprog_notfsm6cla1a","4.4","2.0","6.9"
908,"E06000052","Cornwall",136318,"Sandy Hill Academy","writprog","4.0","2.2","5.9"
908,"E06000052","Cornwall",136318,"Sandy Hill Academy","writprog_fsm6cla1a","2.8","-0.6","6.1"
908,"E06000052","Cornwall",136318,"Sandy Hill Academy","writprog_notfsm6cla1a","4.6","2.3","6.8"
383,"E08000035","Leeds",136326,"Green Lane Primary Academy","matprog","1.0","-0.4","2.4"
383,"E08000035","Leeds",136326,"Green Lane Primary Academy","matprog_fsm6cla1a","-0.9","-3.9","2.2"
383,"E08000035","Leeds",136326,"Green Lane Primary Academy","matprog_notfsm6cla1a","1.5","-0.1","3.0"
