ChainID,ChainName,URN,JoinedDate,TrustID,TrustName
TR03767,KALEIDOSCOPE MULTI ACADEMY TRUST,144924,01/09/2017,TR03767,KALEIDOSCOPE MULTI ACADEMY TRUST
SP02019,EXTEND LEARNING ACADEMIES NETWORK,144925,01/10/2017,TR03803,EXTEND LEARNING ACADEMIES NETWORK
SP02019,EXTEND LEARNING ACADEMIES NETWORK,144926,01/10/2017,TR03803,EXTEND LEARNING ACADEMIES NETWORK
SP02019,EXTEND LEARNING ACADEMIES NETWORK,144927,01/10/2017,TR03803,EXTEND LEARNING ACADEMIES NETWORK
TR03767,KALEIDOSCOPE MULTI ACADEMY TRUST,144928,01/09/2017,TR03767,KALEIDOSCOPE MULTI ACADEMY TRUST
SP00344,"HOPE LEARNING TRUST, YORK",144929,01/09/2017,TR01418,"HOPE LEARNING TRUST, YORK"
SP00687,EBOR ACADEMY TRUST,144930,01/11/2017,TR02566,EBOR ACADEMY TRUST
SP00454,SELBY EDUCATIONAL TRUST,144931,01/12/2017,TR03402,SELBY EDUCATIONAL TRUST
SP00428,REDHILL ACADEMY TRUST,144932,01/11/2017,TR01767,REDHILL ACADEMY TRUST
SP00965,WESTCOUNTRY SCHOOLS TRUST,144933,01/09/2017,TR01159,WESTCOUNTRY SCHOOLS TRUST
SP01978,ST TERESA OF CALCUTTA CATHOLIC ACADEMY TRUST,144934,01/10/2017,TR03764,ST TERESA OF CALCUTTA CATHOLIC ACADEMY TRUST
TR03494,CODSALL MULTI ACADEMY TRUST,144935,01/01/2018,TR03494,CODSALL MULTI ACADEMY TRUST
TR03772,DURHAM DIOCESAN MAT,144936,01/11/2017,TR03772,DURHAM DIOCESAN MAT
SP01528,CONSILIUM ACADEMIES,144937,01/09/2017,TR00082,CONSILIUM ACADEMIES
TR03629,EVERYCHILD TRUST,144938,01/08/2017,TR03629,EVERYCHILD TRUST
SP00187,SOUTHWARK DIOCESAN BOARD OF EDUCATION,144939,01/02/2018,TR03761,SDBE MULTI-ACADEMY TRUST
SP00187,SOUTHWARK DIOCESAN BOARD OF EDUCATION,144941,01/09/2017,TR03761,SDBE MULTI-ACADEMY TRUST
SP02021,LEARNING COMMUNITY TRUST,144942,01/03/2018,TR03737,LEARNING COMMUNITY TRUST
SP00272,FYLDE COAST TEACHING SCHOOL LTD,144945,01/09/2017,TR00836,FYLDE COAST ACADEMY TRUST
SP00527,CAMBRIDGE MERIDIAN ACADEMIES TRUST,144947,01/09/2017,TR00375,CAMBRIDGE MERIDIAN ACADEMIES TRUST
SP01930,LEARNERS' TRUST,144949,01/09/2017,TR03485,LEARNERS' TRUST
SP01699,ASTREA ACADEMY TRUST,144950,01/11/2017,TR03436,ASTREA ACADEMY TRUST
SP02022,SOUTHERN ACADEMY TRUST,144951,01/11/2017,TR02660,SOUTHERN ACADEMY TRUST
SP01946,DUDLEY ACADEMIES TRUST,144952,01/09/2017,TR03705,DUDLEY ACADEMIES TRUST
SP00538,NORTH EAST LEARNING TRUST,144953,01/09/2017,TR01914,NORTH EAST LEARNING TRUST
SP02017,SOUTH DOWNS LEARNING TRUST,144954,01/12/2017,TR01737,SOUTH DOWNS LEARNING TRUST
SP00768,CONNECTED LEARNING,144955,01/09/2017,TR00562,CONNECTED LEARNING
SP00064,ASPIRE ACADEMIES TRUST,144959,01/09/2017,TR02430,ASPIRE ACADEMIES TRUST
SP01412,HERTS & ESSEX MULTI ACADEMY TRUST,144960,01/09/2017,TR02642,HERTS & ESSEX MULTI ACADEMY TRUST
SP00172,DIOCESE OF LONDON,144961,01/11/2017,TR01289,LDBS ACADEMIES TRUST
SP00128,CITY OF LONDON ACADEMIES TRUST,144962,01/12/2017,TR00514,CITY OF LONDON ACADEMIES TRUST
SP00037,BATLEY GIRLS' HIGH SCHOOL,144963,01/12/2017,TR00147,BATLEY MULTI ACADEMY TRUST
SP00579,TOLLBAR MULTI ACADEMY TRUST,144968,01/09/2017,TR02302,TOLLBAR MULTI ACADEMY TRUST
SP01776,MARITIME ACADEMY TRUST,144969,01/09/2017,TR03442,MARITIME ACADEMY TRUST
SP00307,THE LAIDLAW SCHOOLS TRUST,144970,01/09/2017,TR01268,THE LAIDLAW SCHOOLS TRUST
SP01988,SACRED HEART PARTNERSHIP OF SCHOOLS,144971,01/09/2017,TR01843,SACRED HEART PARTNERSHIP OF SCHOOLS
SP00657,SAPIENTIA EDUCATION TRUST,144972,01/09/2017,TR02551,SAPIENTIA EDUCATION TRUST
SP00657,SAPIENTIA EDUCATION TRUST,144973,01/09/2017,TR02551,SAPIENTIA EDUCATION TRUST
SP01861,CLARION ACADEMY TRUST,144974,01/09/2017,TR01074,CLARION ACADEMY TRUST
SP01560,THE WENSUM TRUST,144975,01/09/2017,TR01023,THE WENSUM TRUST
SP00396,OUTWOOD GRANGE ACADEMIES TRUST,144976,01/04/2018,TR01585,OUTWOOD GRANGE ACADEMIES TRUST
SP00538,NORTH EAST LEARNING TRUST,144977,01/04/2018,TR01914,NORTH EAST LEARNING TRUST
SP01140,GREATER NOTTINGHAM EDUCATION TRUST,144978,01/03/2018,TR00391,GREATER NOTTINGHAM EDUCATION TRUST
SP00428,REDHILL ACADEMY TRUST,144979,01/05/2018,TR01767,REDHILL ACADEMY TRUST
SP02036,PETERBOROUGH KEYS ACADEMIES TRUST,144981,01/04/2018,TR03774,PETERBOROUGH KEYS ACADEMIES TRUST
SP01978,ST TERESA OF CALCUTTA CATHOLIC ACADEMY TRUST,144982,01/10/2017,TR03764,ST TERESA OF CALCUTTA CATHOLIC ACADEMY TRUST
SP01244,THE MARCHES ACADEMY TRUST,144983,01/12/2017,TR01398,MARCHES ACADEMY TRUST
SP00152,DIOCESE OF BATH AND WELLS MULTI ACADEMY TRUST,144984,01/09/2017,TR00145,THE BATH AND WELLS DIOCESAN ACADEMIES TRUST
SP01440,THE REDSTART LEARNING PARTNERSHIP,144985,01/09/2017,TR01773,THE REDSTART LEARNING PARTNERSHIP
SP00627,WELLSWAY MULTI ACADEMY TRUST,144986,01/12/2017,TR02421,WELLSWAY MULTI ACADEMY TRUST
SP02116,ASSISI CATHOLIC TRUST,144987,01/05/2018,TR02167,ASSISI CATHOLIC TRUST
SP00647,WINDSOR ACADEMY TRUST,144988,01/09/2018,TR02503,WINDSOR ACADEMY TRUST
SP01158,PERRY HALL MULTI ACADEMY TRUST,144989,01/07/2018,TR01637,PERRY HALL MULTI-ACADEMY TRUST
SP01528,CONSILIUM ACADEMIES,144990,01/09/2017,TR00082,CONSILIUM ACADEMIES
SP00775,ADVANCE LEARNING PARTNERSHIP,144991,01/10/2017,TR01611,ADVANCE LEARNING PARTNERSHIP
SP00187,SOUTHWARK DIOCESAN BOARD OF EDUCATION,144994,01/02/2018,TR03761,SDBE MULTI-ACADEMY TRUST
SP00690,ACORN EDUCATION TRUST,144995,01/11/2017,TR01229,ACORN EDUCATION TRUST
SP01912,ST. BARTHOLOMEW’S CE MULTI ACADEMY TRUST,144996,01/09/2017,TR03521,ST BARTHOLOMEW'S CE MULTI ACADEMY TRUST
SP01912,ST. BARTHOLOMEW’S CE MULTI ACADEMY TRUST,144997,01/09/2017,TR03521,ST BARTHOLOMEW'S CE MULTI ACADEMY TRUST
SP01816,THE SPIRE CHURCH OF ENGLAND LEARNING TRUST,144999,01/09/2018,TR02078,THE SPIRE CHURCH OF ENGLAND LEARNING TRUST
SP00055,GLOUCESTERSHIRE LEARNING ALLIANCE,145000,01/09/2018,TR00227,GLOUCESTERSHIRE LEARNING ALLIANCE
SP01020,BENGEWORTH ACADEMY TRUST,145001,01/02/2018,TR02672,BENGEWORTH MULTI-ACADEMY TRUST
TR00989,THE PINNACLE LEARNING TRUST,145002,01/09/2017,TR00989,THE PINNACLE LEARNING TRUST
TR03692,POTTERIES EDUCATIONAL TRUST,145003,01/09/2017,TR03692,POTTERIES EDUCATIONAL TRUST
TR03776,GODALMING COLLEGE,145004,01/01/2018,TR03776,GODALMING COLLEGE
TR03791,REIGATE LEARNING ALLIANCE,145005,01/09/2017,TR03791,REIGATE LEARNING ALLIANCE
TR03775,WOKING COLLEGE,145007,01/09/2017,TR03775,WOKING COLLEGE
SP00560,ORMISTON ACADEMIES TRUST,145008,01/07/2017,TR01577,ORMISTON ACADEMIES TRUST
SP01166,THE CHALLENGER MULTI-ACADEMY TRUST,145010,01/07/2017,TR03148,THE CHALLENGER MULTI ACADEMY TRUST
SP00719,TRINITAS ACADEMY TRUST,145011,01/07/2017,TR02322,TRINITAS ACADEMY TRUST
SP01837,TURNER SCHOOLS,145012,01/01/2017,TR03610,TURNER SCHOOLS
SP00523,THE STOUR ACADEMY TRUST,145013,01/01/2017,TR02200,THE STOUR ACADEMY TRUST
SP00652,THE WOODLAND ACADEMY TRUST,145014,01/01/2017,TR02526,THE WOODLAND ACADEMY TRUST
SP00513,STEP ACADEMY TRUST,145015,01/01/2017,TR02187,STEP ACADEMY TRUST
SP00513,STEP ACADEMY TRUST,145016,01/01/2017,TR02187,STEP ACADEMY TRUST
SP01288,WICKERSLEY PARTNERSHIP TRUST,145017,01/10/2016,TR02478,WICKERSLEY PARTNERSHIP TRUST
SP00580,NOVA EDUCATION TRUST,145018,01/09/2016,TR02306,NOVA EDUCATION TRUST
SP00691,CASTLE PHOENIX TRUST,145019,01/05/2016,TR00407,CASTLE PHOENIX TRUST
SP02060,THE SIGMA TRUST,145020,01/09/2016,TR00517,THE SIGMA TRUST
SP00807,MIDSOMER NORTON SCHOOLS PARTNERSHIP,145021,01/06/2016,TR01435,MIDSOMER NORTON SCHOOLS PARTNERSHIP
SP01620,RED KITE LEARNING TRUST,145026,01/08/2017,TR00969,RED KITE LEARNING TRUST
SP00116,EASTERN MULTI-ACADEMY TRUST,145027,01/08/2017,TR00620,EASTERN MULTI-ACADEMY TRUST
SP00116,EASTERN MULTI-ACADEMY TRUST,145028,01/08/2017,TR00620,EASTERN MULTI-ACADEMY TRUST
SP00116,EASTERN MULTI-ACADEMY TRUST,145029,01/08/2017,TR00620,EASTERN MULTI-ACADEMY TRUST
SP00793,QUALITY FIRST EDUCATION TRUST,145030,01/08/2017,TR00177,QUALITY FIRST EDUCATION TRUST
SP01125,CHILFORD HUNDRED EDUCATION TRUST,145031,03/09/2018,TR01324,CHILFORD HUNDRED EDUCATION TRUST
SP02159,OXFORD DIOCESAN BUCKS SCHOOLS TRUST,145032,01/11/2017,TR03770,OXFORD DIOCESAN BUCKS SCHOOLS TRUST
SP02159,OXFORD DIOCESAN BUCKS SCHOOLS TRUST,145033,01/10/2017,TR03770,OXFORD DIOCESAN BUCKS SCHOOLS TRUST
SP01868,CAMBRIDGE ACADEMIC PARTNERSHIP,145034,01/03/2018,TR01610,PARKSIDE FEDERATION ACADEMIES
TR03779,CHANCERY MULTI ACADEMY TRUST,145035,01/04/2018,TR03779,CHANCERY MULTI ACADEMY TRUST
TR03779,CHANCERY MULTI ACADEMY TRUST,145036,01/04/2018,TR03779,CHANCERY MULTI ACADEMY TRUST
SP01950,STANLEY LEARNING PARTNERSHIP,145040,01/10/2017,TR03601,STANLEY LEARNING PARTNERSHIP
SP00561,THE PARK FEDERATION ACADEMY TRUST,145041,01/09/2017,TR01596,THE PARK FEDERATION ACADEMY TRUST
SP01776,MARITIME ACADEMY TRUST,145042,01/09/2017,TR03442,MARITIME ACADEMY TRUST
TR03819,THE GRAND UNION PARTNERSHIP,145043,01/09/2017,TR03819,THE GRAND UNION PARTNERSHIP
SP02051,STRIVE4 ACADEMY TRUST,145044,01/09/2017,TR03778,STRIVE4 ACADEMY TRUST
SP02051,STRIVE4 ACADEMY TRUST,145045,01/09/2017,TR03778,STRIVE4 ACADEMY TRUST
SP02011,IRONSTONE ACADEMY TRUST,145046,01/09/2017,TR02666,IRONSTONE ACADEMY TRUST
TR03224,UNITED ENDEAVOUR TRUST,145047,01/09/2017,TR03224,UNITED ENDEAVOUR TRUST
SP01939,THE MOORLANDS PRIMARY FEDERATION,145048,01/09/2017,TR03087,THE MOORLANDS PRIMARY FEDERATION
SP00725,SOUTH ESSEX ALLIANCE MULTI-ACADEMY TRUST,145049,01/01/2018,TR01741,SOUTH ESSEX ALLIANCE MULTI-ACADEMY TRUST
SP00080,BURNT MILL ACADEMY TRUST,145050,01/11/2017,TR00353,BURNT MILL ACADEMY TRUST
SP00145,TDA EDUCATION TRUST,145051,01/01/2017,TR02279,THOMAS DEACON EDUCATION TRUST
SP00418,THE PRIORY FEDERATION OF ACADEMIES,145052,01/09/2017,TR01688,THE PRIORY FEDERATION OF ACADEMIES
SP01939,THE MOORLANDS PRIMARY FEDERATION,145053,01/09/2017,TR03087,THE MOORLANDS PRIMARY FEDERATION
SP01475,EDUCATION LEARNING TRUST,145054,01/09/2017,TR02846,EDUCATION LEARNING TRUST
SP02029,WAVENEY VALLEY ACADEMIES TRUST,145055,01/09/2018,TR01927,WAVENEY VALLEY ACADEMIES TRUST
TR03785,THE PROSPECT TRUST,145057,01/09/2017,TR03785,THE PROSPECT TRUST
SP00217,THE ELLIOT FOUNDATION ACADEMIES TRUST,145060,01/08/2017,TR00735,THE ELLIOT FOUNDATION ACADEMIES TRUST
SP02060,THE SIGMA TRUST,145061,01/06/2017,TR00517,THE SIGMA TRUST
SP00881,KINGSBRIDGE EDUCATIONAL TRUST,145063,01/09/2018,TR03637,KINGSBRIDGE EDUCATIONAL TRUST
SP01134,HAMWIC EDUCATION TRUST,145068,01/08/2017,TR03659,HAMWIC EDUCATION TRUST
SP02159,OXFORD DIOCESAN BUCKS SCHOOLS TRUST,145069,01/10/2017,TR03770,OXFORD DIOCESAN BUCKS SCHOOLS TRUST
SP00884,THE PARTNERSHIP TRUST,145070,01/11/2017,TR00812,THE BATH AND MENDIP PARTNERSHIP TRUST
SP00719,TRINITAS ACADEMY TRUST,145071,01/10/2017,TR02322,TRINITAS ACADEMY TRUST
SP00154,BRADFORD DIOCESAN ACADEMIES TRUST,145072,01/10/2017,TR00278,BRADFORD DIOCESAN ACADEMIES TRUST
SP01398,EDUCATION FOR THE 21ST CENTURY,145073,01/09/2017,TR00727,EDUCATION FOR THE 21ST CENTURY
TR03792,THE SAMARA TRUST,145074,01/03/2018,TR03792,THE SAMARA TRUST
TR03792,THE SAMARA TRUST,145075,01/03/2018,TR03792,THE SAMARA TRUST
TR03792,THE SAMARA TRUST,145076,01/03/2018,TR03792,THE SAMARA TRUST
SP00126,ASPIRE ACADEMY TRUST,145077,01/11/2017,TR00579,ASPIRE ACADEMY TRUST
TR03467,CROFTY MULTI ACADEMY TRUST,145078,01/12/2017,TR03467,CROFTY MULTI ACADEMY TRUST
SP01699,ASTREA ACADEMY TRUST,145079,01/10/2017,TR03436,ASTREA ACADEMY TRUST
TR03602,THE ROSE LEARNING TRUST,145080,01/10/2017,TR03602,THE ROSE LEARNING TRUST
TR03502,THE PILGRIM MULTI ACADEMY TRUST,145081,01/11/2017,TR03502,THE PILGRIM MULTI ACADEMY TRUST
TR01795,THE BAY LEARNING TRUST,145082,01/06/2018,TR01795,THE BAY LEARNING TRUST
SP00818,MOWBRAY EDUCATION TRUST,145083,01/10/2017,TR01167,MOWBRAY EDUCATION TRUST LIMITED
SP02046,OVAL LEARNING TRUST,145084,01/10/2017,TR03604,OVAL LEARNING TRUST
SP00171,DIOCESE OF LIVERPOOL,145086,01/12/2017,TR03033,LIVERPOOL DIOCESAN SCHOOLS TRUST
SP01848,BOLEYN TRUST,145087,01/11/2017,TR03500,BOLEYN TRUST
SP02090,EKO TRUST,145088,01/10/2017,TR03464,EKO TRUST
SP01560,THE WENSUM TRUST,145089,01/11/2017,TR01023,THE WENSUM TRUST
SP01573,ARETÉ LEARNING TRUST,145090,01/12/2017,TR03123,ARETÉ LEARNING TRUST
SP00675,FLYING HIGH TRUST,145092,01/09/2018,TR00800,FLYING HIGH TRUST
SP00428,REDHILL ACADEMY TRUST,145093,01/11/2017,TR01767,REDHILL ACADEMY TRUST
SP00592,UNITED LEARNING TRUST,145094,01/10/2017,TR02343,UNITED LEARNING TRUST
SP01308,WHITE WOODS PRIMARY ACADEMY TRUST,145095,01/01/2018,TR02470,WHITE WOODS PRIMARY ACADEMY TRUST
SP00171,DIOCESE OF LIVERPOOL,145096,01/11/2017,TR03033,LIVERPOOL DIOCESAN SCHOOLS TRUST
TR03753,CENTRAL CO-OPERATIVE LEARNING TRUST,145097,01/11/2017,TR03753,CENTRAL CO-OPERATIVE LEARNING TRUST
SP01362,THE SHAW EDUCATION TRUST,145098,01/10/2017,TR02713,THE SHAW EDUCATION TRUST
TR03753,CENTRAL CO-OPERATIVE LEARNING TRUST,145099,01/11/2017,TR03753,CENTRAL CO-OPERATIVE LEARNING TRUST
TR03753,CENTRAL CO-OPERATIVE LEARNING TRUST,145100,01/11/2017,TR03753,CENTRAL CO-OPERATIVE LEARNING TRUST
TR03468,XAVIER CATHOLIC EDUCATION TRUST,145102,01/11/2017,TR03468,XAVIER CATHOLIC EDUCATION TRUST
SP01746,THE ACADEMY FOR CHARACTER AND EXCELLENCE,145103,01/11/2017,TR03472,THE ACADEMY FOR CHARACTER AND EXCELLENCE
SP01746,THE ACADEMY FOR CHARACTER AND EXCELLENCE,145104,01/11/2017,TR03472,THE ACADEMY FOR CHARACTER AND EXCELLENCE
SP00171,DIOCESE OF LIVERPOOL,145107,01/04/2018,TR03033,LIVERPOOL DIOCESAN SCHOOLS TRUST
SP01634,NEWQUAY EDUCATION TRUST,145108,01/11/2017,TR01503,NEWQUAY EDUCATION TRUST
SP01743,THE TWO COUNTIES TRUST,145109,01/11/2017,TR00097,THE TWO COUNTIES TRUST
SP00771,RAYLEIGH SCHOOLS TRUST,145110,01/10/2017,TR02233,RAYLEIGH SCHOOLS TRUST
SP01160,PARTNERSHIP LEARNING,145111,01/03/2018,TR01615,PARTNERSHIP LEARNING
